set,polarity,kind,dot
Set 1,Pos,target,209
Set 1,Pos,target,906
Set 1,Pos,target,628
Set 1,Pos,target,919
Set 1,Pos,target,854
Set 1,Pos,target,866
Set 1,Pos,target,222
Set 1,Pos,target,996
Set 1,Pos,target,743
Set 1,Pos,target,833
Set 1,Pos,target,8
Set 1,Pos,target,892
Set 1,Pos,target,958
Set 1,Pos,target,995
Set 1,Pos,target,988
Set 1,Pos,target,997
Set 1,Pos,target,825
Set 1,Pos,target,987
Set 1,Pos,target,986
Set 1,Pos,target,996
Set 1,Pos,target,885
Set 1,Pos,target,966
Set 1,Pos,target,241
Set 1,Pos,target,997
Set 1,Pos,target,991
Set 1,Pos,target,731
Set 1,Pos,target,551
Set 1,Pos,target,811
Set 1,Pos,target,715
Set 1,Pos,target,913
Set 1,Pos,target,992
Set 1,Pos,target,80
Set 1,Pos,target,113
Set 1,Pos,target,748
Set 1,Pos,target,3
Set 1,Pos,target,599
Set 1,Pos,target,774
Set 1,Pos,target,965
Set 1,Pos,target,995
Set 1,Pos,target,988
Set 1,Pos,target,795
Set 1,Pos,target,796
Set 1,Pos,target,990
Set 1,Pos,target,983
Set 1,Pos,target,984
Set 1,Pos,target,995
Set 1,Pos,target,970
Set 1,Pos,target,656
Set 1,Pos,target,956
Set 1,Pos,target,790
Set 1,Pos,target,935
Set 1,Pos,target,333
Set 1,Pos,target,967
Set 1,Pos,target,669
Set 1,Pos,target,920
Set 1,Pos,target,25
Set 1,Pos,target,989
Set 1,Pos,target,858
Set 1,Pos,target,630
Set 1,Pos,target,1
Set 1,Pos,target,915
Set 1,Pos,target,217
Set 1,Pos,target,996
Set 1,Pos,target,559
Set 1,Pos,target,988
Set 1,Pos,target,890
Set 1,Pos,target,992
Set 1,Pos,target,979
Set 1,Pos,target,990
Set 1,Pos,target,761
Set 1,Pos,target,995
Set 1,Pos,target,544
Set 1,Pos,target,541
Set 1,Pos,target,603
Set 1,Pos,target,858
Set 1,Pos,target,648
Set 1,Pos,target,177
Set 1,Pos,target,136
Set 1,Pos,target,993
Set 1,Pos,target,709
Set 1,Pos,target,972
Set 1,Pos,target,565
Set 1,Pos,target,4
Set 1,Pos,target,910
Set 1,Pos,target,983
Set 1,Pos,target,996
Set 1,Pos,target,978
Set 1,Pos,target,746
Set 1,Pos,target,136
Set 1,Pos,target,962
Set 1,Pos,target,973
Set 1,Pos,target,986
Set 1,Pos,target,996
Set 1,Pos,target,655
Set 1,Pos,target,691
Set 1,Pos,target,491
Set 1,Pos,target,194
Set 1,Pos,target,75
Set 1,Pos,target,989
Set 1,Pos,target,922
Set 1,Pos,target,681
Set 1,Pos,target,925
Set 1,Pos,target,241
Set 1,Pos,target,996
Set 1,Pos,target,966
Set 1,Pos,target,817
Set 1,Pos,target,981
Set 1,Pos,target,706
Set 1,Pos,target,99
Set 1,Pos,target,965
Set 1,Pos,target,981
Set 1,Pos,target,995
Set 1,Pos,target,821
Set 1,Pos,target,434
Set 1,Pos,target,845
Set 1,Pos,target,78
Set 1,Pos,target,978
Set 1,Pos,target,991
Set 1,Pos,target,294
Set 1,Pos,target,8
Set 1,Pos,target,823
Set 1,Pos,target,995
Set 1,Pos,target,958
Set 1,Pos,target,960
Set 1,Pos,target,728
Set 1,Pos,target,974
Set 1,Pos,target,758
Set 1,Pos,target,989
Set 1,Pos,target,967
Set 1,Pos,target,988
Set 1,Pos,target,986
Set 1,Pos,target,932
Set 1,Pos,target,692
Set 1,Pos,target,115
Set 1,Pos,target,578
Set 1,Pos,target,601
Set 1,Pos,target,163
Set 1,Pos,target,84
Set 1,Pos,target,994
Set 1,Pos,target,3
Set 1,Pos,target,151
Set 1,Pos,target,995
Set 1,Pos,target,993
Set 1,Pos,target,127
Set 1,Pos,target,969
Set 1,Pos,target,815
Set 1,Pos,target,961
Set 1,Pos,target,988
Set 1,Pos,target,867
Set 1,Pos,target,274
Set 1,Pos,target,965
Set 1,Pos,target,680
Set 1,Pos,target,69
Set 1,Pos,target,859
Set 1,Pos,target,982
Set 1,Pos,target,288
Set 1,Pos,target,202
Set 1,Pos,target,995
Set 1,Pos,target,948
Set 1,Pos,target,974
Set 1,Pos,target,983
Set 1,Pos,target,139
Set 1,Pos,target,218
Set 1,Pos,target,994
Set 1,Pos,target,873
Set 1,Pos,target,976
Set 1,Pos,target,849
Set 1,Pos,target,695
Set 1,Pos,target,204
Set 1,Pos,target,90
Set 1,Pos,target,1
Set 1,Pos,target,180
Set 1,Pos,target,731
Set 1,Pos,target,995
Set 1,Pos,target,970
Set 1,Pos,target,987
Set 1,Pos,target,276
Set 1,Pos,target,971
Set 1,Pos,target,768
Set 1,Pos,target,897
Set 1,Pos,target,968
Set 1,Pos,target,996
Set 1,Pos,target,171
Set 1,Pos,target,990
Set 1,Pos,target,843
Set 1,Pos,target,967
Set 1,Pos,target,887
Set 1,Pos,target,977
Set 1,Pos,target,975
Set 1,Pos,target,5
Set 1,Pos,target,311
Set 1,Pos,target,995
Set 1,Pos,target,995
Set 1,Pos,target,894
Set 1,Pos,target,993
Set 1,Pos,target,996
Set 1,Pos,target,126
Set 1,Pos,target,999
Set 1,Pos,target,987
Set 1,Pos,target,990
Set 1,Pos,target,995
Set 1,Pos,target,15
Set 1,Pos,target,987
Set 1,Pos,target,465
Set 1,Pos,target,988
Set 1,Pos,target,995
Set 1,Pos,target,995
